ordinal	Cir_id	CircuitoName	n_organos	estado
1	1	PRIMER CIRCUITO	184	Ciudad de México (Distrito Federal)
2	2	SEGUNDO CIRCUITO	82	Estado de México
3	3	TERCER CIRCUITO	102	Jalisco
4	4	CUARTO CIRCUITO	45	Nuevo León
5	5	QUINTO CIRCUITO	27	Sonora
6	6	SEXTO CIRCUITO	44	Puebla
7	7	SÉPTIMO CIRCUITO	40	Veracruz
8	8	OCTAVO CIRCUITO	33	Coahuila
9	9	NOVENO CIRCUITO	22	San Luis Potosí
10	10	DÉCIMO CIRCUITO	38	Tabasco-Veracruz
11	41	DÉCIMO PRIMER CIRCUITO	24	Michoacán
12	43	DÉCIMO SEGUNDO CIRCUITO	24	Sinaloa
13	46	DÉCIMO TERCER CIRCUITO	24	Oaxaca
14	38	DÉCIMO CUARTO CIRCUITO	18	Yucatán
15	42	DÉCIMO QUINTO CIRCUITO	34	Baja California
16	45	DÉCIMO SEXTO CIRCUITO	30	Guanajuato
17	44	DÉCIMO SÉPTIMO CIRCUITO	28	Chihuahua
18	40	DÉCIMO OCTAVO CIRCUITO	25	Morelos
19	39	DÉCIMO NOVENO CIRCUITO	32	Tamaulipas
20	20	VIGÉSIMO CIRCUITO	28	Chiapas
21	51	VIGÉSIMO PRIMER CIRCUITO	24	Guerrero
22	53	VIGÉSIMO SEGUNDO CIRCUITO	21	Querétaro
23	56	VIGÉSIMO TERCER CIRCUITO	13	Zacatecas
24	48	VIGÉSIMO CUARTO CIRCUITO	19	Nayarit
25	52	VIGÉSIMO QUINTO CIRCUITO	13	Durango
26	55	VIGÉSIMO SEXTO CIRCUITO	11	Baja California Sur
27	54	VIGÉSIMO SÉPTIMO CIRCUITO	21	Quintana Roo
28	50	VIGÉSIMO OCTAVO CIRCUITO	14	Tlaxcala
29	49	VIGÉSIMO NOVENO CIRCUITO	17	Hidalgo
30	30	TRIGÉSIMO CIRCUITO	18	Aguascalientes
31	47	TRIGÉSIMO PRIMER CIRCUITO	17	Campeche
32	109	TRIGÉSIMO SEGUNDO CIRCUITO	11	Colima
