organismo_id	nombre
10	Juzgado Primero de Distrito en Materia Administrativa en la Ciudad de México
726	Juzgado Segundo de Distrito en Materia Administrativa en la Ciudad de México
534	Juzgado Tercero de Distrito en Materia Administrativa en la Ciudad de México
41	Juzgado Cuarto de Distrito en Materia Administrativa en la Ciudad de México
727	Juzgado Quinto de Distrito en Materia Administrativa en la Ciudad de México
728	Juzgado Sexto de Distrito en Materia Administrativa en la Ciudad de México
64	Juzgado Séptimo de Distrito en Materia Administrativa en la Ciudad de México
729	Juzgado Octavo de Distrito en Materia Administrativa en la Ciudad de México
76	Juzgado Noveno de Distrito en Materia Administrativa en la Ciudad de México
730	Juzgado Décimo de Distrito en Materia Administrativa en la Ciudad de México
576	Juzgado Décimo Primero de Distrito en Materia Administrativa en la Ciudad de México
731	Juzgado Décimo Segundo de Distrito en Materia Administrativa en la Ciudad de México
732	Juzgado Décimo Tercero de Distrito en Materia Administrativa en la Ciudad de México
733	Juzgado Décimo Cuarto de Distrito en Materia Administrativa en la Ciudad de México
734	Juzgado Décimo Quinto de Distrito en Materia Administrativa en la Ciudad de México
735	Juzgado Décimo Sexto de Distrito en Materia Administrativa en la Ciudad de México
4012	Juzgado Decimoséptimo de Distrito en Materia Administrativa en la Ciudad de México
12	Juzgado Primero de Distrito en Materia Civil en la Ciudad de México
23	Juzgado Segundo de Distrito en Materia Civil en la Ciudad de México
33	Juzgado Tercero de Distrito en Materia Civil en la Ciudad de México
43	Juzgado Cuarto de Distrito en Materia Civil en la Ciudad de México
51	Juzgado Quinto de Distrito en Materia Civil en la Ciudad de México
59	Juzgado Sexto de Distrito en Materia Civil en la Ciudad de México
758	Juzgado Séptimo de Distrito en Materia Civil en la Ciudad de México
71	Juzgado Octavo de Distrito en Materia Civil en la Ciudad de México
77	Juzgado Noveno de Distrito en Materia Civil en la Ciudad de México
83	Juzgado Décimo de Distrito en Materia Civil en la Ciudad de México
87	Juzgado Décimo Primero de Distrito en Materia Civil en la Ciudad de México
91	Juzgado Décimo Segundo de Distrito en Materia Civil en la Ciudad de México
759	Juzgado Decimotercero de Distrito en Materia Civil en la Ciudad de México
1424	Juzgado Decimocuarto de Distrito en Materia Civil en la Ciudad de México
527	Juzgado Primero de Distrito en Materia de Trabajo en la Ciudad de México
535	Juzgado Segundo de Distrito en Materia de Trabajo en la Ciudad de México
781	Juzgado Tercero de Distrito en Materia de Trabajo en la Ciudad de México
652	Juzgado Cuarto de Distrito en Materia de Trabajo en la Ciudad de México
782	Juzgado Quinto de Distrito en Materia de Trabajo en la Ciudad de México
935	Juzgado Sexto de Distrito en Materia de Trabajo en la Ciudad de México
1425	Juzgado Séptimo de Distrito en Materia de Trabajo en la Ciudad de México
1426	Juzgado Octavo de Distrito en Materia de Trabajo en la Ciudad de México
1427	Juzgado Noveno de Distrito en Materia de Trabajo en la Ciudad de México
762	Juzgado Primero de Distrito en Materia Penal en la Ciudad de México
1194	Juzgado Primero de Distrito Especializado en Ejecución de Penas
763	Juzgado Segundo de Distrito en Materia Penal en la Ciudad de México
1195	Juzgado Segundo de Distrito Especializado en Ejecución de Penas
764	Juzgado Tercero de Distrito en Materia Penal en la Ciudad de México
1196	Juzgado Tercero de Distrito Especializado en Ejecución de Penas
765	Juzgado Cuarto de Distrito en Materia Penal en la Ciudad de México
2418	Juzgado Cuarto de Distrito Especializado en Ejecución de Penas
766	Juzgado Quinto de Distrito en Materia Penal en la Ciudad de México
2419	Juzgado Quinto de Distrito Especializado en Ejecución de Penas
767	Juzgado Sexto de Distrito en Materia Penal en la Ciudad de México
3999	Juzgado Sexto de Distrito Especializado en Ejecución de Penas
768	Juzgado Séptimo de Distrito en Materia Penal en la Ciudad de México
769	Juzgado Octavo de Distrito en Materia Penal en la Ciudad de México
770	Juzgado Noveno de Distrito en Materia Penal en la Ciudad de México
771	Juzgado Décimo de Distrito en Materia Penal en la Ciudad de México
772	Juzgado Decimoprimero de Distrito en Materia Penal en la Ciudad de México
773	Juzgado Decimosegundo de Distrito en Materia Penal en la Ciudad de México
938	Juzgado Decimotercero de Distrito en Materia Penal en la Ciudad de México
939	Juzgado Decimocuarto de Distrito en Materia Penal en la Ciudad de México
1467	Juzgado Decimoquinto de Distrito en Materia Penal en la Ciudad de México
1468	Juzgado Decimosexto de Distrito en Materia Penal en la Ciudad de México
555	Juzgado Primero de Distrito de Procesos Penales Federales en la Ciudad de México (13/12/2001 - 31/08/2024)
25	Juzgado Segundo de Distrito de Procesos Penales Federales en la Ciudad de México (02/04/2001 - 31/08/2024)
52	Juzgado Quinto de Distrito de Procesos Penales Federales en la Ciudad de México (02/04/2001 - 31/08/2024)
60	Juzgado Sexto de Distrito de Procesos Penales Federales en la Ciudad de México (02/04/2001 - 31/08/2024)
949	Juzgado Primero de Distrito del Centro Auxiliar de la Primera Región, con residencia en la Ciudad de México
964	Juzgado Segundo de Distrito del Centro Auxiliar de la Primera Región, con residencia en la Ciudad de México
4002	Juzgado Primero de Distrito en Materia de Extinción de Dominio con Competencia en la República Mexicana y Especializado en Juicios Orales Mercantiles en el Primer Circuito
4157	Juzgado Primero de Distrito en Materia de Concursos Mercantiles, con residencia en la Ciudad de México y jurisdicción en toda la República Mexicana
4003	Juzgado Segundo de Distrito en Materia de Extinción de Dominio con Competencia en la República Mexicana y Especializado en Juicios Orales Mercantiles en el Primer Circuito
4158	Juzgado Segundo de Distrito en Materia de Concursos Mercantiles, con residencia en la Ciudad de México y jurisdicción en toda la República Mexicana
