organismo_id	nombre
3881	Juzgado Primero de Distrito en Materia Penal en el Estado de Querétaro
3882	Juzgado Segundo de Distrito en Materia Penal en el Estado de Querétaro
1391	Juzgado Primero de Distrito en Materia de Amparo Civil, Administrativo y de Trabajo y de Juicios Federales en el Estado de Querétaro
1392	Juzgado Segundo de Distrito en Materia de Amparo Civil, Administrativo y de Trabajo y de Juicios Federales en el Estado de Querétaro
1393	Juzgado Tercero de Distrito en Materia de Amparo Civil, Administrativo y de Trabajo y de Juicios Federales en el Estado de Querétaro
1395	Juzgado Cuarto de Distrito en Materia de Amparo Civil, Administrativo y de Trabajo y de Juicios Federales en el Estado de Querétaro
1396	Juzgado Quinto de Distrito en Materia de Amparo Civil, Administrativo y de Trabajo y de Juicios Federales en el Estado de Querétaro
1664	Juzgado Sexto de Distrito en Materia de Amparo Civil, Administrativo y de Trabajo y de Juicios Federales en el Estado de Querétaro
1665	Juzgado Séptimo de Distrito en Materia de Amparo Civil, Administrativo y de Trabajo y de Juicios Federales en el Estado de Querétaro
1588	Tribunal Colegiado en Materias Administrativa y de Trabajo del Vigésimo Segundo Circuito, con residencia en Querétaro, Querétaro
1589	Primer Tribunal Colegiado en Materias Administrativa y Civil del Vigésimo Segundo Circuito, con residencia en Querétaro, Querétaro
1590	Segundo Tribunal Colegiado en Materias Administrativa y Civil del Vigésimo Segundo Circuito, con residencia en Querétaro, Querétaro
2422	Tercer Tribunal Colegiado en Materias Administrativa y Civil del Vigésimo Segundo Circuito, con residencia en Querétaro, Querétaro
1587	Tribunal Colegiado en Materias Penal y Administrativa del Vigésimo Segundo Circuito, con residencia en Querétaro, Querétaro
4111	Primer Tribunal Laboral Federal de asuntos individuales en el Estado de Querétaro, con sede en Querétaro
4112	Segundo Tribunal Laboral Federal de asuntos individuales en el Estado de Querétaro, con sede en Querétaro
4367	Tribunal Colegiado de Apelación del Vigésimo Segundo Circuito, con residencia en Querétaro, Querétaro
4387	Pleno Regional en Materia Civil de la Región Centro-Norte, con residencia en la Ciudad de México (16/01/2023-15/01/2024)
4386	Pleno Regional en Materias Administrativa y Civil de la Región Centro-Norte, con residencia en la Ciudad de México.
4388	Pleno Regional en Materia de Trabajo de la Región Centro-Norte, con residencia en Monterrey, Nuevo León (16/01/2023-15/01/2024)
4385	Pleno Regional en Materias Penal y de Trabajo de la Región Centro-Norte, con residencia en la Ciudad de México.
